Produto Buscado,Produto Encontrado (Semar),Produto Encontrado (Rossi),Produto Encontrado (Shibata),Produto Encontrado (Alabarce),Preço (Semar),Status (Semar),Preço (Rossi),Status (Rossi),Preço (Shibata),Status (Shibata),Preço (Alabarce),Status (Alabarce)
Alface Americana,Alface Americana Benverde 1 Unidade,Alface Americana Band Un,Alface Americana Takagaki - 170g,,4.89,OK,7.49,OK,,Indisponível,,Não encontrado
Alface Crespa,Alface Crespa Benverde 1 Unidade,Alface Crespa Un,Alface Crespa - 1 Unidade,,3.99,OK,,Indisponível,4.49,OK,,Não encontrado
Alface Crespa Hidropônica,Alface Crespa Benverde Hidropônica 1 Unidade,,Alface Crespa Hidropônica Mizuguchi - 1 Unidade,,3.99,OK,,Não encontrado,,Indisponível,,Não encontrado
Alface Crespa Roxo,,,,,,Não encontrado,,Não encontrado,,Não encontrado,,Não encontrado
Alface Lisa,,Alface Lisa,Alface Lisa - 1 Unidade,,,Não encontrado,,Indisponível,4.49,OK,,Não encontrado
Alface Lisa Hidropônica,Alface Lisa Benverde Hidroponica Un,Alface Lisa Hidropônica,Alface Lisa Hidropônica - 1 Unidade,,,Indisponível,5.49,OK,,Indisponível,,Não encontrado
Alface Lisa Higienizado,,,,,,Não encontrado,,Não encontrado,,Não encontrado,,Não encontrado
Alface Mimosa Hidropônica,Alface Mimosa Benverde Hidroponica Un,,Alface Mimosa Hidropônica Kimoto - 1 Unidade,,,Indisponível,,Não encontrado,4.99,OK,,Não encontrado
Brocolis,Brocolis Ninja Benverde 280g,Brócolis Comum,Brocolis Pratigel 300g,,,Indisponível,,Indisponível,,Indisponível,,Não encontrado
Couve,Couve Flor Benverde 280g,Couve Manteiga,Couve Flor - 1 Unidade,,8.99,OK,3.99,OK,9.90,OK,,Não encontrado
Couve Flor,,Couve Flor Un Hortella,Couve Flor - 1 Unidade,,,Não encontrado,11.80,OK,9.90,OK,,Não encontrado
Couve Higienizado,Couve Manteiga Higienizado Benverde 200g,,Couve Flor Higienizado - 300g,,6.99,OK,,Não encontrado,,Indisponível,,Não encontrado
Repolho Roxa,,,,,,Não encontrado,,Não encontrado,,Não encontrado,,Não encontrado
Repolho Verde,Repolho Verde Benverde Higienizado Fatiado 300g,Repolho Verde Kg,"Repolho Verde - 1 Unidade (aprox. 1,2Kg)",,,Indisponível,4.59,OK,3.99,OK,,Não encontrado
Abobrinha Italiana,Abobrinha Italiana Benverde Bdj 600g ,,Abobrinha Italiana - 1 Unidade,,,Indisponível,,Não encontrado,5.00,OK,,Não encontrado
Batata Doce Rosada,Batata Doce Rosada 800g (aproximadamente 2 Unidades),Batata Doce Rosada 500g,Batata Doce Rosada - 900g (aprox. 1 Unidade),,6.97,OK,6.90,OK,6.99,OK,,Não encontrado
Batata Lavada,Batata Lavada 500g (aproximadamente 2 Unidades),Batata Lavada 500g,Batata Lavada - 1 Unidade,,4.00,OK,1.98,OK,5.00,OK,,Não encontrado
Beringela,,,,,,Não encontrado,,Não encontrado,,Não encontrado,,Não encontrado
Beterraba,Beterraba Benverde Bdj 500g,Beterraba 700g,Beterraba - 1 Unidade,,,Indisponível,6.49,OK,6.50,OK,,Não encontrado
Cebola,Cebola Roxa Bdj Kg (aprox 500g),Cebola 1kg,Cebola Granulada Kitano 50gr,,7.59,OK,2.49,OK,8.99,OK,,Não encontrado
Cenoura,Cenoura Benverde Bdj 500g,Cenoura 500g,Cenoura - 1 Unidade,,,Indisponível,4.98,OK,5.00,OK,,Não encontrado
Chuchu,Chuchu 600g (aproximadamente 2 Unidades),Chuchu 750g,Chuchu - 1 Unidade,,9.98,OK,3.99,OK,4.00,OK,,Não encontrado
Mandioca,Mandioca 700g,Mandioca 1kg,Mandioca Takagaki - 900g,,2.99,OK,3.98,OK,,Indisponível,,Não encontrado
Pepino Comum,Pepino Comum 600g (aproximadamente 2 Unidades),Pepino Comum 500g,Pepino Comum - 1 Unidade,,5.48,OK,3.98,OK,5.50,OK,,Não encontrado
Pepino Japones,Pepino Japonês Benverde Bdj 500g,Pepino Japones 500g,Pepino Japonês - 1 Unidade,,,Indisponível,6.98,OK,5.00,OK,,Não encontrado
Pimentao Amarelo,Pimentão Amarelo 250g ,Pimentão Amarelo 500g,Pimentão Amarelo - 1 Unidade,,21.88,OK,19.90,OK,21.89,OK,,Não encontrado
Pimentao Verde,,Pimentão Verde 500g,Pimentão Verde - 1 Unidade,,,Não encontrado,7.98,OK,7.00,OK,,Não encontrado
Pimentao Vermelho,Pimentão Vermelho 250g,Pimentão Vermelho 500g,Pimentão Vermelho - 1 Unidade,,22.88,OK,19.90,OK,22.90,OK,,Não encontrado
Tomate,Tomate 200g ,Tomate Salada 500g,Tomate Italiano - 1 Unidade,,5.00,OK,3.98,OK,6.00,OK,,Não encontrado
Tomate Italiano,,Tomate Italiano 500g,Tomate Italiano - 1 Unidade,,,Não encontrado,3.98,OK,6.00,OK,,Não encontrado
Banana Nanica,Banana Nanica 1kg (aproximadamente 6 Unidades),Banana Nanica 500g,"Banana Nanica - 1,4Kg (Aprox. 6 Unidades)",,2.99,OK,3.98,OK,3.99,OK,,Não encontrado
Banana Prata,,Banana Prata 500g,"Banana Prata - 1,1kg - Aprox. 8 Unidades",,,Não encontrado,10.90,OK,8.99,OK,,Não encontrado
Banana Terra,"Banana Terra 1,1kg (aproximadamente 4 Unidades)",Banana Da Terra Kg,,,12.79,OK,14.80,OK,,Não encontrado,,Não encontrado
Goiaba,Goiaba Vermelha 600g ,Goiaba Branca 500g,Goiaba Vermelha - 1 Unidade,,4.98,OK,18.90,OK,7.00,OK,,Não encontrado
Laranja Pera,,Laranja Pera 1kg,Laranja Pera - 1 Unidade,,,Não encontrado,3.99,OK,3.00,OK,,Não encontrado
Limao,Limão 300g (aproximadamente 3 Unidades),Limão 500g,Limao Tahiti - 1 Unidade,,3.00,OK,3.50,OK,3.00,OK,,Não encontrado
Maça Argentina,Maca Argentina 600g (aproximadamente 3 Unidades),Maça Argentina Red 600g,,,17.90,OK,18.90,OK,,Não encontrado,,Não encontrado
Maça Fuji,Maca Fuji 500g (aproximadamente 3 Unidades),,Maçã Fuji - 1 Unidade,,17.00,OK,,Não encontrado,16.00,OK,,Não encontrado
Maça Gala,Maçã Gala Nacional 500g (aproximadamente 3 Unidades),Maça Gala 1kg,Maçã Gala - 1 Unidade,,8.98,OK,8.49,OK,11.00,OK,,Não encontrado
